	c_office_id	c_office_chn	place	office	title
21150	83625	理藩院管理院務大臣		理藩院	管理院務大臣#大臣
19489	81963	管理街道廳			
24135	86611	顏料庫司庫		司庫#顏料庫	司庫
20852	83327	考核專科幫辦		專科	幫辦
25467	87943	纂修太宗文皇帝實錄總裁官			總裁官
20054	82528	戶部山東司郎中	山東	東司#戶部	郎中
20984	83459	考試滿洲蒙古翻譯搜檢大臣			大臣
21615	84090	明史副總裁官			總裁官#副總裁官
21393	83868	陵扈大臣			大臣
21873	84348	內務府正白旗護軍統領		內務府	統領#護軍統領
24904	87380	鎮中營副將		中營	副將
22516	84991	守護昌陵尚書		昌陵	尚書
22665	85140	司禮監秉筆太監		司禮監	太監
20035	82509	戶部江西司員外郎	江西	西司#戶部	外郎#員外郎
24189	86665	驗看月官大臣			大臣
17889	80363	兵部車駕司員外郎		兵部	外郎#員外郎
23310	85785	武會試官			
20325	82799	會同勘界			
18164	80638	禪寺住持			
19244	81718	工部郎中掌都水司印鑰		工部	
21069	83544	科爾沁達爾漢多羅郡王			
20727	83201	覺羅學正黃旗教習			教習
19421	81895	管帶軍水師礮船			
23892	86367	刑部員外郎學習行走		刑部	行走
22021	84496	前鋒護軍統領			統領#護軍統領
21241	83716	禮部儀制司員外郎充儀制司掌印		禮部	掌印
23018	85493	統帶隊			
21232	83707	禮部學習行走		禮部	行走
21182	83657	理事同知			同知
25066	87542	製造庫掌印		製造庫	掌印
20416	82890	稽查幼官學大臣		官學	大臣
17660	80134	辦理賑務			
24557	87033	幼官學管學大臣		官學	管學大臣#大臣
21663	84138	内國史院學士			學士
22950	85425	天神壇贊禮			
18276	80750	城右衛左翼副都統	右衛	左翼	副都統#都統
21652	84127	磨勘直省鄉試試卷大臣			大臣
23452	85927	西陵守護大臣		西陵	大臣
18560	81034	都水司郎中			郎中
19819	82293	翰林院辦事官		翰林院	辦事官
18863	81337	二等順義侯			
21902	84377	臬司			
24773	87249	詹事府右春坊右中允		右春坊#詹事府	右中允
18119	80593	查城及驗看月官大臣			大臣
19269	81743	工部屯田司行走		工部	行走
21120	83595	籃翎侍衛在大門上行走			行走
22164	84639	賽因諾顏部扎薩克和碩親王			
20010	82484	戶部廣西司行走	廣西	西司#戶部	行走
25164	87640	駐防翻譯舉人覆試閱卷大臣			大臣
22389	84864	聖祖實錄館副總裁官		實錄館	總裁官#副總裁官
19682	82156	光祿寺珍羞署署正		光祿寺	署正
19441	81915	管副將事			
19093	81567	撫左守備事務			
17901	80375	兵部督捕左侍郎		兵部	督捕左侍郎#侍郎#左侍郎
22123	84598	輕車都尉			
25527	88003	左翼尉		左翼	
24415	86891	營統領兼中營管帶		中營	管帶
19867	82341	和碩成親王			
24193	86669	驗收海運米石大臣			大臣
20082	82556	戶部效力行走		戶部	行走
20320	82794	會同辦理通商事務			
22052	84527	橋監督			監督
20263	82737	會試場內督理稽查官			
17593	80067	拔貢覆試閱卷大臣			大臣
20401	82875	稽查小九處			
18631	81105	督標後營遊擊			遊擊
19578	82052	管理右翼近支族長		右翼	
22279	84754	商辦華德路礦公司事件專員			
19714	82188	國史館清文總校官		國史館	總校官
18968	81442	方略館幫辦提調官		方略館	提調官
25050	87526	志書館副總裁			副總裁#總裁
21854	84329	內務府武備院委署催總		武備院#內務府	催總#委署催總
17713	80187	幫辦實錄館提調		實錄館	提調
18714	81188	督糧道			
21835	84310	內務府護軍統領		內務府	統領#護軍統領
23866	86341	刑部司獄		刑部	司獄
25476	87952	左春坊右庶子		左春坊	右庶子
20417	82891	稽查御史			御史#稽查御史
21533	84008	馬水口都司			都司
22732	85207	隨入地宮大臣			大臣
17963	80437	兵科右給事中		兵科	右給事中#給事中
23805	86280	刑部河南司主稿	河南	刑部	主稿
18636	81110	督標千總			千總
19959	82433	鴻臚寺序班		鴻臚寺	序班
19023	81497	封朝鮮國王世子副使			副使
18858	81332	二等侍衛侍衛班領			侍衛班領
25328	87804	總督兼管巡撫事			
23247	85722	文淵閣校閱		文淵閣	
18222	80696	城常備軍管帶			管帶
23888	86363	刑部右侍郎		刑部	右侍郎#侍郎
18947	81421	翻譯鄉試閱卷大臣			大臣
20634	83108	進耒耜大臣			大臣
17735	80209	保和殿考試翻譯監			
23786	86261	刑部廣東司主事	廣東	東司#刑部	主事#司主事
23194	85669	文會試棘牆御史			御史
19373	81847	顧問大臣			顧問大臣#大臣
21264	83739	禮科給事中巡視中城		禮科	
22007	84482	僉事			僉事
21189	83664	理猺			
18810	81284	額外中允			
21483	83958	路西城都司			都司
22703	85178	四品銜			
21323	83798	吏部學習員外郎		吏部	外郎#員外郎
22444	84919	實錄館總纂官		實錄館	總纂官
20742	83216	軍機處二班幫領班章京		軍機處	章京
25548	88024	佐領			佐領
21196	83671	禮部祠祭司掌印		禮部	掌印
19276	81750	工部學習主事		工部	主事#學習主事
22968	85443	廳河工同知			同知
18253	80727	城守營右營守備		右營	守備
23101	85576	外海水師守備			守備
20330	82804	會議政務處王大臣		政務處#會議政務處	大臣
18263	80737	城守左營把總		左營	把總
25226	87702	宗人府額外主事		宗人府	額外主事#主事
25400	87876	總理學務處			
22991	85466	通政使司右通政		通政使司	
23583	86058	鑲黃旗漢軍副都統			副都統#都統#漢軍副都統
24412	86888	營守備			守備
19073	81547	撫標右營把總		右營	把總
23631	86106	效力筆帖式			效力筆帖式#筆帖式
20965	83440	考試滿謄錄大臣			大臣
18463	80937	典簿			典簿
20541	83015	監生考試監試御史			御史
22715	85190	嗣教大真人			
22344	84819	尚書房總諳達			
19228	81702	工部都水司員外郎		工部	外郎#員外郎
22620	85095	水師營副都統		水師營	副都統#都統
23731	86206	協左營都司		左營	都司
20158	82632	花翎都司			都司
23138	85613	外銀庫大臣		銀庫	大臣
20503	82977	緝私營統領			統領
22314	84789	上駟院行走		上駟院	行走
23612	86087	嚮導章京上行走			行走
21084	83559	空銜花翎			
20396	82870	稽查壇牆大臣			大臣
19947	82421	宏文院中書			中書
22759	85234	台吉			
20277	82751	會試覆試閱卷官			
25312	87788	總兵效力行走			行走
22365	84840	慎刑司委署主事		慎刑司	主事#署主事#委署主事
23964	86439	虛銜委步軍校			步軍校
24889	87365	鎮標左營遊擊		左營	遊擊
23222	85697	文鄉試專門搜檢大臣			大臣
21109	83584	藍翎侍衛上行走			行走
20228	82702	會典館繪圖處總纂官		會典館	總纂官
25266	87742	宗室覺羅學漢教習			教習
19689	82163	廣勇駐守			
22894	85369	提標右營中軍守備		右營	守備
21740	84215	內閣中書		內閣	中書
23681	86156	協路千總			千總
21216	83691	禮部滿檔房委署主事		檔房#禮部#滿檔房	主事#署主事#委署主事
23203	85678	文生起居注筆帖式			筆帖式
21878	84353	內務府主事銜		內務府	
24019	86494	學訓導			
23625	86100	小考宗室翎緞大臣			大臣
21942	84417	票簽處行走			行走
18726	81200	督修工程			
19538	82012	管理十五善射大臣			大臣
22070	84545	欽差大臣關防			
22530	85005	叔和碩鄭親王			
21717	84192	內閣批本		內閣	
21959	84434	七品庫掌			庫掌
19523	81997	管理三陵包衣佐領下官員執事太監等事務			
18907	81381	翻譯官出使英法國大臣			大臣
19419	81893	管帶隊			
22022	84497	前鋒藍翎長			藍翎長
24053	86528	巡察御史			御史
20399	82873	稽查咸安宮學務			
22155	84630	儒學生員			
24787	87263	掌飯銀處關防		飯銀處	
21797	84272	內弘文院庶吉士		內弘文院	庶吉士
18027	80501	步軍統領衙門郎中			郎中
24633	87109	元帥			
22812	85287	太子講官			
23571	86046	鑲紅旗都統			都統
18295	80769	充崇文門正監督			正監督#監督
23524	85999	鄉試磨勘官			
21171	83646	理藩院員外郎上行走		理藩院	行走
23053	85528	頭等侍衛			侍衛
25202	87678	準噶爾方略正總裁			總裁
19144	81618	副尉			副尉
23468	85943	憲政編查館參預政務大臣		憲政編查館	政務大臣#大臣
21994	84469	起居注官			
24097	86573	巡視鹽課監察御史			監察御史#御史
24121	86597	訓導職銜			
22379	84854	盛京協領	盛京		協領
25091	87567	中書			中書
19964	82438	後船房經承			經承
23807	86282	刑部湖廣司郎中	湖廣	刑部	郎中
19448	81922	管河道			
23777	86252	刑部奉天司主稿	奉天	刑部	主稿
18681	81155	督標左右二營遊擊			遊擊
18874	81348	二等子世職			
24997	87473	知縣			知縣
18451	80925	道御史			御史
19833	82307	翰林院孔目		翰林院	孔目
19050	81524	俸餉處總辦		俸餉處	總辦
23800	86275	刑部漢字堂主事		刑部	主事#堂主事
19758	82232	國子監學正		國子監	學正
21907	84382	寧遠大將軍			將軍
25160	87636	駐藏副都統			副都統#都統
19254	81728	工部清吏司主事		工部	主事#司主事
20365	82839	稽查大臣			大臣
22332	84807	尚茶正侍衛班長			班長
20334	82808	火器營操練尉營總		火器營	營總
25329	87805	總督兼管鹽政			鹽政
23739	86214	新建陸軍礮隊學堂監督		新建陸軍	監督
21355	83830	練兵處總司文案		練兵處#總司	文案
22903	85378	提標中營額外外委		中營	
20803	83278	喀部落賜奠大臣			大臣
18717	81191	督糧同知			同知
19433	81907	管帶線槍隊教習			教習
21333	83808	吏部員外郎上行走		吏部	行走
18899	81373	翻譯筆帖式考試官			
22552	85027	水陸總兵			總兵#兵
17607	80081	頒詔官			
20189	82663	回部郡王品級貝勒			
21848	84323	內務府堂筆帖式		內務府堂#內務府	筆帖式
17951	80425	兵部職方司員外郎		兵部	外郎#員外郎
22685	85160	四等侍衛			四等侍衛#侍衛
17649	80123	辦理團練防勦事宜			
23481	85956	縣大臣			大臣
21298	83773	吏部七品小京官		吏部	七品小京官#小京官
21539	84014	滿漢書教習			漢書教習#教習
21054	83529	考驗八旗軍政右翼監射		右翼	
23561	86036	鑲白護軍統領			統領#護軍統領
22959	85434	貼寫中書			中書#貼寫中書
24070	86546	巡撫銜			
24008	86483	學務大臣			大臣#學務大臣
24990	87466	知府候補知州			知州
18209	80683	承辦事務衙門主事			主事#承辦事務衙門主事
23300	85775	武殿試校閱大臣			大臣
19264	81738	工部司務		工部	司務
20694	83168	靖侯			
22967	85442	廳撫夷通判			通判
20613	83087	教習總管			總管
23478	85953	憲政籌備處坐辦		憲政籌備處	坐辦
21152	83627	理藩院郎中上行走		理藩院	行走
22027	84502	前鋒章京			章京
20303	82777	會試武闈較射大臣			大臣
19812	82286	漢廕生閱卷官			
20578	83052	江防河務同知			同知
22646	85121	稅釐總局提調			提調
22644	85119	水師左營守備		左營	守備
20349	82823	火藥局值年大臣			大臣
23217	85692	文鄉試稽查接談換卷大臣			大臣
22531	85006	書畫館總裁			總裁
20529	83003	監督出洋肄業事宜			
20230	82704	會典館滿詳校官		會典館	
23120	85595	外務部會辦大臣		外務部	大臣#會辦大臣
20731	83205	軍標右營把總		右營	把總
18546	81020	都察院左都御史		都察院	御史#左都御史
22525	85000	守左營都司		左營	都司
18629	81103	督標後營參將			參將
17938	80412	兵部學習行走		兵部	行走
18977	81451	方略館謄錄官		方略館	謄錄官
22645	85120	水師左營遊擊		左營	遊擊
25342	87818	總管將軍			將軍
19436	81910	管帶營練軍			
24805	87281	掌井田科關防		井田科	
19596	82070	管理圓明園八旗內務府三旗官兵進班		圓明園#內務府	
23934	86409	行營守備參贊大臣		行營	大臣
18459	80933	迪道			
21455	83930	陸軍部左侍郎		陸軍部	侍郎#左侍郎
22749	85224	索倫副總管			副總管#總管
