c_ot_adm_id	c_ot_adm_chinm	type	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
376	奉祠所	o											3
375	玉牒館	o											3
374	僧正司	o											3
373	驛傳道	o											3
372	柴炭司	o											3
371	分巡道	o											3
370	典兵局	o											3
369	教坊司	o											3
368	勇士營	o											3
367	內酒坊	o											3
366	供用庫	o											3
422	典寶所	o											3
394	江西道	o											3
396	考功司	o											3
409	典膳局	o											3
420	典璽局	o											3
419	司門部	o											3
397	御藥局	o											3
418	三千營	o											3
417	司闈司	o											3
416	司藥司	o											3
415	典服所	o											3
421	鑄印局	o											3
413	司勳部	o											3
412	正心殿	o											3
411	美東衛	o											3
410	通政司	o											3
404	茶課司	o											3
399	府軍衛	o											3
400	屯田道	o											3
407	典牧所	o											3
402	水馬驛	o											3
403	宣課司	o											3
401	繩愆廳	o											3
405	典服局	o											3
406	河泊所	o											3
920	東廠	o											2
978	倉部	o											2
965	刑科	o											2
966	吏科	o											2
967	工科	o											2
968	戶科	o											2
969	禮科	o											2
970	諫院	o											2
971	行部	o											2
972	總部	o											2
973	庫部	o											2
974	總部	o											2
975	駕部	o											2
976	憲部	o											2
977	比部	o											2
979	民部	o											2
963	東閣	o											2
980	金部	o											2
981	儀部	o											2
982	祠部	o											2
983	膳部	o											2
984	一科	o											2
985	二科	o											2
986	三科	o											2
987	四科	o											2
1131	牧監	o											2
1173	北廠	o											2
1080	虞部	o											2
1079	營部	o											2
964	兵科	o											2
865	兵部	o											2
673	外廠	o											2
677	禮部	o											2
689	京營	o											2
692	刑部	o											2
694	戶部	o											2
699	左所	o											2
600	春坊	o											2
803	南院	o											2
848	史館	o											2
835	吏部	o											2
755	左院	o											2
760	工部	o											2
1174	南廠	o											2
